modulation,source_snr_db,jammer_type,jsr_db,num_samples,detection_rate,mean_jam_probability
16QAM,0.0,tone,-10.0,9,0.0,0.13879545695251888
16QAM,0.0,tone,-5.0,9,0.7777777777777778,0.6345982584688399
16QAM,0.0,tone,0.0,9,1.0,0.9950258996751573
16QAM,0.0,tone,5.0,9,1.0,0.9999920924504598
16QAM,0.0,tone,10.0,9,1.0,0.999999033080207
16QAM,10.0,barrage,-10.0,9,0.0,0.1006955968009101
16QAM,10.0,barrage,-5.0,9,0.8888888888888888,0.6525203320715163
16QAM,10.0,barrage,0.0,9,1.0,0.996664371755388
16QAM,10.0,barrage,5.0,9,1.0,0.9999988608890109
16QAM,10.0,barrage,10.0,9,1.0,0.9999999602635702
16QAM,10.0,chirp,-10.0,9,0.0,0.1265827040705416
16QAM,10.0,chirp,-5.0,9,0.8888888888888888,0.7210675279299418
16QAM,10.0,chirp,0.0,9,1.0,0.9634309013684591
16QAM,10.0,chirp,5.0,9,1.0,0.9999969270494249
16QAM,10.0,chirp,10.0,9,1.0,0.999999549653795
16QAM,10.0,tone,-10.0,9,0.0,0.13041521774397957
16QAM,10.0,tone,-5.0,9,1.0,0.8859730296664767
16QAM,10.0,tone,0.0,9,1.0,0.9990719821718004
16QAM,10.0,tone,5.0,9,1.0,0.9999977747599283
16QAM,10.0,tone,10.0,9,1.0,0.9999994966718886
16QAM,20.0,barrage,-10.0,10,0.0,0.10659264922142028
16QAM,20.0,barrage,-5.0,10,0.6,0.5811060935258865
16QAM,20.0,barrage,0.0,10,1.0,0.9975364565849304
